,method,accuracy,f1,precision,recall,macro-f1,minority-f1
0,logreg,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
1,knn,0.5416666666666667,0.3833333333333333,0.45,0.35,0.48,0.3833333333333333
2,gaussianNB,0.9083333333333334,0.8333333333333333,0.9,0.8,0.8800000000000001,0.8333333333333333
3,bernoulliNB,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
4,adaboost,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
5,gradient-boosting,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
6,dec-tree,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
7,linear-svc,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
8,c-svc,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
